month,part_id,part_name,sku,category,demand,inventory_level,price,sales_volume
2023-01,P001,Battery Pack,BAT-5000,Power,63,90,8500,69
2023-01,P002,Electric Motor,MOT-3000,Drivetrain,64,100,12000,69
2023-01,P003,Charging Port,CHG-200,Electrical,115,173,450,69
2023-01,P004,Display Console,DSP-100,Interior,87,147,1200,69
2023-01,P005,Brake System,BRK-400,Safety,88,140,2500,69
2023-01,P006,Tire Set,TIR-800,Wheels,95,137,1800,69
2023-01,P007,Suspension Kit,SUS-600,Chassis,53,82,3200,69
2023-01,P008,HVAC Unit,HVC-300,Climate,77,120,1500,69
2023-02,P001,Battery Pack,BAT-5000,Power,55,82,8500,56
2023-02,P002,Electric Motor,MOT-3000,Drivetrain,50,80,12000,56
2023-02,P003,Charging Port,CHG-200,Electrical,78,119,450,56
2023-02,P004,Display Console,DSP-100,Interior,60,85,1200,56
2023-02,P005,Brake System,BRK-400,Safety,61,102,2500,56
2023-02,P006,Tire Set,TIR-800,Wheels,74,112,1800,56
2023-02,P007,Suspension Kit,SUS-600,Chassis,41,74,3200,56
2023-02,P008,HVAC Unit,HVC-300,Climate,63,87,1500,56
2023-03,P001,Battery Pack,BAT-5000,Power,120,191,8500,102
2023-03,P002,Electric Motor,MOT-3000,Drivetrain,98,132,12000,102
2023-03,P003,Charging Port,CHG-200,Electrical,135,204,450,102
2023-03,P004,Display Console,DSP-100,Interior,90,143,1200,102
2023-03,P005,Brake System,BRK-400,Safety,96,142,2500,102
2023-03,P006,Tire Set,TIR-800,Wheels,174,264,1800,102
2023-03,P007,Suspension Kit,SUS-600,Chassis,69,112,3200,102
2023-03,P008,HVAC Unit,HVC-300,Climate,103,153,1500,102
2023-04,P001,Battery Pack,BAT-5000,Power,99,144,8500,100
2023-04,P002,Electric Motor,MOT-3000,Drivetrain,78,116,12000,100
2023-04,P003,Charging Port,CHG-200,Electrical,150,225,450,100
2023-04,P004,Display Console,DSP-100,Interior,104,151,1200,100
2023-04,P005,Brake System,BRK-400,Safety,120,175,2500,100
2023-04,P006,Tire Set,TIR-800,Wheels,141,211,1800,100
2023-04,P007,Suspension Kit,SUS-600,Chassis,77,111,3200,100
2023-04,P008,HVAC Unit,HVC-300,Climate,86,127,1500,100
2023-05,P001,Battery Pack,BAT-5000,Power,161,246,8500,128
2023-05,P002,Electric Motor,MOT-3000,Drivetrain,79,122,12000,128
2023-05,P003,Charging Port,CHG-200,Electrical,214,327,450,128
2023-05,P004,Display Console,DSP-100,Interior,136,206,1200,128
2023-05,P005,Brake System,BRK-400,Safety,158,219,2500,128
2023-05,P006,Tire Set,TIR-800,Wheels,159,257,1800,128
2023-05,P007,Suspension Kit,SUS-600,Chassis,93,139,3200,128
2023-05,P008,HVAC Unit,HVC-300,Climate,111,172,1500,128
2023-06,P001,Battery Pack,BAT-5000,Power,107,166,8500,131
2023-06,P002,Electric Motor,MOT-3000,Drivetrain,97,128,12000,131
2023-06,P003,Charging Port,CHG-200,Electrical,209,312,450,131
2023-06,P004,Display Console,DSP-100,Interior,142,218,1200,131
2023-06,P005,Brake System,BRK-400,Safety,166,260,2500,131
2023-06,P006,Tire Set,TIR-800,Wheels,179,270,1800,131
2023-06,P007,Suspension Kit,SUS-600,Chassis,112,173,3200,131
2023-06,P008,HVAC Unit,HVC-300,Climate,95,166,1500,131
2023-07,P001,Battery Pack,BAT-5000,Power,144,195,8500,132
2023-07,P002,Electric Motor,MOT-3000,Drivetrain,118,169,12000,132
2023-07,P003,Charging Port,CHG-200,Electrical,172,252,450,132
