id,created_at,vehicle_model,issue,status,completed_at,month
T000001,2023-01-31,E-Truck Power,Brake system check,in_progress,,2023-01
T000002,2023-01-31,E-Sedan Pro,Battery range reduced,completed,2023-02-03,2023-01
T000003,2023-01-31,E-Sports GT,Charging port not working,in_progress,,2023-01
T000004,2023-01-31,E-SUV Elite,Suspension noise,completed,2023-02-06,2023-01
T000005,2023-01-31,E-SUV Elite,Climate control fault,completed,2023-02-04,2023-01
T000006,2023-02-01,E-Sports GT,Tire replacement needed,completed,2023-02-07,2023-02
T000007,2023-02-01,E-Sports GT,Battery range reduced,in_progress,,2023-02
T000008,2023-02-02,E-Sedan Pro,Battery range reduced,in_progress,,2023-02
T000009,2023-02-03,E-Truck Power,Battery range reduced,completed,2023-02-07,2023-02
T000010,2023-02-04,E-Compact City,Charging port not working,completed,2023-02-10,2023-02
T000011,2023-02-04,E-Truck Power,Suspension noise,in_progress,,2023-02
T000012,2023-02-04,E-Sedan Pro,Display console malfunction,completed,2023-02-05,2023-02
T000013,2023-02-04,E-Sports GT,Software update required,completed,2023-02-09,2023-02
T000014,2023-02-04,E-SUV Elite,Brake system check,completed,2023-02-09,2023-02
T000015,2023-02-05,E-Sports GT,Motor performance issue,completed,2023-02-11,2023-02
T000016,2023-02-06,E-Compact City,General maintenance,open,,2023-02
T000017,2023-02-06,E-Compact City,Brake system check,completed,2023-02-07,2023-02
T000018,2023-02-07,E-Truck Power,Suspension noise,completed,2023-02-08,2023-02
T000019,2023-02-07,E-SUV Elite,Brake system check,completed,2023-02-11,2023-02
T000020,2023-02-07,E-Sedan Pro,Charging port not working,completed,2023-02-10,2023-02
T000021,2023-02-08,E-SUV Elite,Battery range reduced,open,,2023-02
T000022,2023-02-08,E-SUV Elite,Display console malfunction,completed,2023-02-13,2023-02
T000023,2023-02-09,E-Compact City,Suspension noise,completed,2023-02-14,2023-02
T000024,2023-02-09,E-Sedan Pro,Suspension noise,completed,2023-02-11,2023-02
T000025,2023-02-09,E-Sedan Pro,Tire replacement needed,completed,2023-02-13,2023-02
T000026,2023-02-11,E-Sedan Pro,Battery range reduced,completed,2023-02-12,2023-02
T000027,2023-02-11,E-Truck Power,Suspension noise,open,,2023-02
T000028,2023-02-11,E-Truck Power,Display console malfunction,open,,2023-02
T000029,2023-02-11,E-Compact City,Charging port not working,in_progress,,2023-02
T000030,2023-02-13,E-Compact City,General maintenance,completed,2023-02-15,2023-02
T000031,2023-02-13,E-Sports GT,General maintenance,completed,2023-02-18,2023-02
T000032,2023-02-14,E-Truck Power,General maintenance,completed,2023-02-19,2023-02
T000033,2023-02-14,E-Sports GT,Suspension noise,completed,2023-02-16,2023-02
T000034,2023-02-14,E-Compact City,Battery range reduced,open,,2023-02
T000035,2023-02-14,E-Truck Power,Battery range reduced,in_progress,,2023-02
T000036,2023-02-15,E-Sports GT,Tire replacement needed,completed,2023-02-19,2023-02
T000037,2023-02-17,E-Compact City,Tire replacement needed,in_progress,,2023-02
T000038,2023-02-18,E-Sedan Pro,Charging port not working,completed,2023-02-19,2023-02
T000039,2023-02-20,E-SUV Elite,General maintenance,in_progress,,2023-02
T000040,2023-02-21,E-Truck Power,Charging port not working,completed,2023-02-26,2023-02
T000041,2023-02-21,E-Sedan Pro,Brake system check,completed,2023-02-23,2023-02
T000042,2023-02-21,E-Sports GT,Charging port not working,completed,2023-02-22,2023-02
T000043,2023-02-21,E-Truck Power,Tire replacement needed,completed,2023-02-24,2023-02
T000044,2023-02-22,E-Compact City,General maintenance,in_progress,,2023-02
T000045,2023-02-23,E-SUV Elite,Brake system check,completed,2023-02-27,2023-02
T000046,2023-02-24,E-Sports GT,Software update required,open,,2023-02
T000047,2023-02-24,E-SUV Elite,Motor performance issue,completed,2023-02-25,2023-02
T000048,2023-02-24,E-Sports GT,Climate control fault,completed,2023-02-28,2023-02
T000049,2023-02-24,E-SUV Elite,Suspension noise,open,,2023-02
T000050,2023-02-25,E-Sports GT,Charging port not working,open,,2023-02
T000051,2023-02-25,E-SUV Elite,Motor performance issue,completed,2023-02-26,2023-02
T000052,2023-02-25,E-Compact City,General maintenance,in_progress,,2023-02
T000053,2023-02-26,E-Sedan Pro,Climate control fault,completed,2023-03-02,2023-02
T000054,2023-02-27,E-SUV Elite,Motor performance issue,open,,2023-02
T000055,2023-02-28,E-Compact City,Charging port not working,in_progress,,2023-02
T000056,2023-02-28,E-Sedan Pro,Display console malfunction,completed,2023-03-01,2023-02
T000057,2023-02-28,E-Sports GT,Motor performance issue,completed,2023-03-06,2023-02
T000058,2023-03-01,E-Sedan Pro,Battery range reduced,completed,2023-03-07,2023-03
T000059,2023-03-03,E-Truck Power,Tire replacement needed,completed,2023-03-09,2023-03
T000060,2023-03-03,E-Sports GT,Charging port not working,in_progress,,2023-03
T000061,2023-03-03,E-Sports GT,Suspension noise,open,,2023-03
T000062,2023-03-03,E-Truck Power,Battery range reduced,completed,2023-03-06,2023-03
T000063,2023-03-04,E-Compact City,Climate control fault,open,,2023-03
T000064,2023-03-04,E-Compact City,Tire replacement needed,open,,2023-03
T000065,2023-03-05,E-Sedan Pro,Motor performance issue,completed,2023-03-11,2023-03
T000066,2023-03-05,E-Sedan Pro,Display console malfunction,in_progress,,2023-03
T000067,2023-03-06,E-Sedan Pro,Charging port not working,in_progress,,2023-03
T000068,2023-03-08,E-Compact City,Brake system check,in_progress,,2023-03
T000069,2023-03-09,E-Truck Power,Software update required,open,,2023-03
T000070,2023-03-09,E-Compact City,Suspension noise,open,,2023-03
T000071,2023-03-10,E-Compact City,General maintenance,completed,2023-03-16,2023-03
T000072,2023-03-10,E-SUV Elite,General maintenance,completed,2023-03-12,2023-03
T000073,2023-03-10,E-SUV Elite,Charging port not working,completed,2023-03-16,2023-03
T000074,2023-03-11,E-Sports GT,Display console malfunction,completed,2023-03-16,2023-03
T000075,2023-03-11,E-Sedan Pro,Charging port not working,completed,2023-03-15,2023-03
T000076,2023-03-12,E-Truck Power,Brake system check,in_progress,,2023-03
T000077,2023-03-12,E-Compact City,Charging port not working,completed,2023-03-18,2023-03
T000078,2023-03-13,E-Compact City,Climate control fault,open,,2023-03
T000079,2023-03-13,E-Compact City,Software update required,in_progress,,2023-03
T000080,2023-03-13,E-Sedan Pro,Software update required,in_progress,,2023-03
T000081,2023-03-14,E-Sports GT,Battery range reduced,completed,2023-03-20,2023-03
T000082,2023-03-15,E-Truck Power,Brake system check,completed,2023-03-16,2023-03
T000083,2023-03-15,E-Sedan Pro,Brake system check,in_progress,,2023-03
T000084,2023-03-16,E-Sedan Pro,Software update required,completed,2023-03-18,2023-03
T000085,2023-03-16,E-Compact City,Display console malfunction,completed,2023-03-18,2023-03
T000086,2023-03-16,E-Sports GT,Tire replacement needed,completed,2023-03-21,2023-03
T000087,2023-03-17,E-Truck Power,Software update required,open,,2023-03
T000088,2023-03-17,E-SUV Elite,Suspension noise,open,,2023-03
T000089,2023-03-17,E-Compact City,Tire replacement needed,completed,2023-03-23,2023-03
T000090,2023-03-18,E-Truck Power,Software update required,completed,2023-03-21,2023-03
T000091,2023-03-18,E-SUV Elite,Motor performance issue,completed,2023-03-22,2023-03
T000092,2023-03-18,E-Compact City,Climate control fault,completed,2023-03-20,2023-03
T000093,2023-03-19,E-Sports GT,Battery range reduced,completed,2023-03-21,2023-03
T000094,2023-03-20,E-Sports GT,Software update required,completed,2023-03-22,2023-03
T000095,2023-03-20,E-Sports GT,Charging port not working,in_progress,,2023-03
T000096,2023-03-20,E-Sports GT,Software update required,open,,2023-03
T000097,2023-03-20,E-Sports GT,Brake system check,completed,2023-03-26,2023-03
T000098,2023-03-21,E-Compact City,Brake system check,completed,2023-03-22,2023-03
T000099,2023-03-21,E-Compact City,Charging port not working,completed,2023-03-24,2023-03
T000100,2023-03-22,E-Sedan Pro,General maintenance,completed,2023-03-24,2023-03
T000101,2023-03-22,E-Sports GT,General maintenance,completed,2023-03-28,2023-03
T000102,2023-03-23,E-Sports GT,General maintenance,completed,2023-03-29,2023-03
T000103,2023-03-23,E-Truck Power,Motor performance issue,completed,2023-03-29,2023-03
T000104,2023-03-23,E-Sedan Pro,Motor performance issue,completed,2023-03-26,2023-03
T000105,2023-03-23,E-Sedan Pro,Battery range reduced,completed,2023-03-28,2023-03
T000106,2023-03-23,E-Sedan Pro,Brake system check,open,,2023-03
T000107,2023-03-23,E-Truck Power,Suspension noise,completed,2023-03-28,2023-03
T000108,2023-03-24,E-SUV Elite,Motor performance issue,in_progress,,2023-03
T000109,2023-03-24,E-Sedan Pro,Charging port not working,in_progress,,2023-03
T000110,2023-03-25,E-Sedan Pro,General maintenance,completed,2023-03-29,2023-03
T000111,2023-03-26,E-Compact City,Software update required,completed,2023-03-29,2023-03
T000112,2023-03-27,E-Sedan Pro,Charging port not working,completed,2023-03-29,2023-03
T000113,2023-03-30,E-Truck Power,Software update required,open,,2023-03
T000114,2023-04-01,E-Compact City,Suspension noise,completed,2023-04-04,2023-04
